architecture,model,completion_rate_pct,strict_route_adherence_pct,actual_source_family_accuracy_pct,mean_evidence_element_coverage_pct,mean_evidence_authority_alignment_pct,mean_answer_element_coverage_pct,judge_quality_mean_score,weighted_grounding_score_pct,major_technical_issue_rate_pct,unsupported_or_contradicted_claim_rate_pct,contradicted_claims,mean_mcp_searches,mean_e2e_sec,mean_tokens
Version A,Claude Sonnet 5,87.5,87.5,100.0,87.08,70.83,100.0,3.88,58.05,25.0,23.73,4,1.88,24.92,19418.75
Version A,Gemma 4 26B A4B IT,100.0,87.5,87.5,85.3,88.75,91.67,3.84,62.11,12.5,20.0,1,1.0,11.96,5612.5
Version A,Claude Haiku 4.5,100.0,87.5,100.0,89.58,70.56,97.92,3.47,67.52,50.0,14.53,1,2.12,26.02,16546.88
Version A,DeepSeek V4 Flash 0731,62.5,87.5,100.0,87.08,69.58,83.33,3.22,68.62,50.0,12.77,2,2.25,16.7,14721.5
Version B,Claude Sonnet 5,100.0,87.5,100.0,89.58,68.75,100.0,3.94,58.25,12.5,25.24,2,2.0,22.41,24495.75
Version B,Gemma 4 26B A4B IT,100.0,100.0,100.0,67.26,90.0,87.5,3.75,40.32,37.5,41.94,0,1.0,15.36,7100.12
Version B,DeepSeek V4 Flash 0731,87.5,100.0,100.0,88.39,78.08,100.0,3.47,60.53,50.0,22.11,0,2.25,73.96,22985.75
Version B,Claude Haiku 4.5,100.0,87.5,100.0,93.75,64.1,89.17,3.19,63.57,62.5,18.6,2,2.62,19.42,30327.38
