generator_key,model,semantic_n,mean_quality_pct,median_quality_pct,technical_correctness,requirement_coverage,evidence_grounding,evidence_consistency,technical_synthesis,unsupported_claims_control,major_errors,unsupported_claim_cases,formal_cases,generation_validation_passes,mean_retrieval_rounds,total_rag_calls,total_mcp_calls,total_backend_calls,mean_final_evidence,mean_context_chars,mean_generation_s,mean_e2e_s,mean_completion_tokens,mean_total_tokens,generation_validation_rate_pct,major_error_rate_pct,unsupported_claim_rate_pct
gemma4_12b,Gemma 4 12B,15,92.5,100.0,3.7333333333333334,3.8,3.466666666666667,3.8666666666666667,3.8,3.4,0,6,16,16,2.4375,22,39,61,4.6875,10803.375,26.79869383249934,57.106842214250264,694.3125,3807.375,100.0,0.0,40.0
qwen38_27b,Qwen3.8 27B,15,85.08333333333333,88.75,3.6,3.3333333333333335,3.1333333333333333,3.7333333333333334,3.466666666666667,2.8666666666666667,1,10,16,2,2.0,16,26,42,4.875,11552.125,82.22941615312584,139.29140222868705,980.125,4378.25,12.5,6.666666666666667,66.66666666666666
qwen35_9b,Qwen3.5 9B,15,72.91666666666667,77.5,2.933333333333333,3.2666666666666666,2.6,3.066666666666667,2.8666666666666667,2.1333333333333333,3,13,16,5,1.5625,13,25,38,4.375,10568.5625,29.04207295481274,49.67478625506237,963.8125,4022.6875,31.25,20.0,86.66666666666667
