generator_key,model,retrieval_stop_reason,n,mean_quality_pct,mean_rounds,mean_e2e_s
gemma4_12b,Gemma 4 12B,MAX_RETRIEVAL_ROUNDS,8,89.53125,3.0,66.13851986412556
gemma4_12b,Gemma 4 12B,SUFFICIENT_EVIDENCE,7,95.89285714285714,1.7142857142857142,50.854711564714044
qwen35_9b,Qwen3.5 9B,MAX_RETRIEVAL_ROUNDS,3,72.5,3.0,68.3309299149987
qwen35_9b,Qwen3.5 9B,SUFFICIENT_EVIDENCE,12,73.02083333333333,1.0833333333333333,45.844121823417176
qwen38_27b,Qwen3.8 27B,MAX_RETRIEVAL_ROUNDS,3,73.75,3.0,162.03824972666675
qwen38_27b,Qwen3.8 27B,SUFFICIENT_EVIDENCE,12,87.91666666666667,1.6666666666666667,136.1021380512493
