generator_key,model,selected_mode,n,mean_quality_pct,mean_rounds,mean_backend_calls,mean_e2e_s,generation_pass_rate,generation_pass_rate_pct
gemma4_12b,Gemma 4 12B,HYBRID,9,89.72222222222223,2.4444444444444446,4.888888888888889,63.449541714555785,1.0,100.0
gemma4_12b,Gemma 4 12B,MCP_ONLY,6,96.66666666666667,2.3333333333333335,2.3333333333333335,52.34087740583345,1.0,100.0
qwen35_9b,Qwen3.5 9B,HYBRID,7,68.21428571428571,1.8571428571428572,3.7142857142857144,56.548628678714785,0.0,0.0
qwen35_9b,Qwen3.5 9B,MCP_ONLY,8,77.03125,1.125,1.125,44.91023135937485,0.5,50.0
qwen38_27b,Qwen3.8 27B,HYBRID,4,73.125,2.5,5.0,161.04515750225164,0.0,0.0
qwen38_27b,Qwen3.8 27B,MCP_ONLY,10,89.75,1.6,1.6,131.60861626789847,0.1,10.0
qwen38_27b,Qwen3.8 27B,RAG_ONLY,1,86.25,3.0,3.0,159.0736131070007,0.0,0.0
